id,roadway_name,area,location_description,road_condition,secondary_conditions,visibility,last_updated
129,HWY-210 Burin Peninsula Highway,Eastern-Boat Harbour,Red Harbour to Clam Brook,Bare Dry,,Good,2026-03-09 13:55:16
132,HWY-212 Harbour Mille Road,Eastern-Boat Harbour,Intersection Route 210 to Bay L'Argent,Bare Dry,,Good,2026-03-09 13:55:16
197,HWY-215 Petite Forte Road,Eastern-Boat Harbour,Boat Harbour to Petite Forte,Bare Dry,,Good,2026-03-09 13:55:16
105,HWY-40 Portugal Cove Road,Avalon-Torbay,Windsor Lake to Beachy Cove Road,Bare Wet,,Good,2026-03-09 14:03:52
106,HWY-41 Beachy Cove Road,Avalon-Torbay,Beachy Cove Road to St. Thomas Line,Bare Wet,,Good,2026-03-09 14:03:52
107,HWY-50 Thorburn Road,Avalon-Torbay,St. John's City Limits to St. Thomas Line,Bare Wet,,Good,2026-03-09 14:03:52
233,HWY-20 Torbay Road,Avalon-Torbay,Torbay to Pouch Cove,Bare Wet,,Good,2026-03-09 14:03:52
234,HWY-20A Torbay Bypass Road,Avalon-Torbay,Torbay to Flatrock,Bare Wet,,Good,2026-03-09 14:03:52
102,HWY-10 Southern Shore Highway,Avalon-Tors Cove,Goulds to Cape Broyle,Bare Dry,,Good,2026-03-09 14:05:49
103,HWY-13 Witless Bay Line,Avalon-Tors Cove,Trans-Canada Highway to Witless Bay,Bare Dry,,Good,2026-03-09 14:05:49
112,HWY-70 Baccalieu Trail,Avalon-Lower Island Cove,Perry's Cove to Old Perlican,Bare Dry,,Good,2026-03-09 14:08:26
115,HWY-80 Trinity South Highway,Avalon-Lower Island Cove,Brownsdale to Old Perlican,Bare Dry,,Good,2026-03-09 14:08:26
239,HWY-70 Baccalieu Trail,Avalon-Lower Island Cove,Old Perlican to Grate’s Cove,Bare Dry,,Good,2026-03-09 14:08:26
187,HWY-510 Southern Labrador Highway,Labrador-Port Hope Simpson,Cartwright Junction to Port Hope Simpson,Bare Dry,Icy Patches,Good,2026-03-09 14:17:32
188,HWY-510 Southern Labrador Highway,Labrador-Port Hope Simpson,Port Hope Simpson to Lodge Bay,Bare Dry,Icy Patches,Good,2026-03-09 14:17:33
191,HWY-513 St. Lewis Road,Labrador-Port Hope Simpson,Intersection Route 510 to St. Lewis,Covered Snow Packed,Icy Patches,Good,2026-03-09 14:17:38
215,HWY-514 Charlottetown Junction,Labrador-Port Hope Simpson,Intersection Route 510 to Charlottetown,Covered Snow Packed,Icy Patches,Good,2026-03-09 14:17:39
223,HWY-514-1 Pinsent's Arm Road,Labrador-Port Hope Simpson,Intersection Route 514 to Pinsent's Arm,Covered Snow Packed,Icy Patches,Good,2026-03-09 14:17:39
89,HWY-1 Trans-Canada Highway,Central-Springdale,South Brook to Birchy Narrows,Bare Wet,,Good,2026-03-09 14:19:55
149,HWY-390 Springdale Road,Central-Springdale,Trans-Canada Highway to Springdale,Bare Wet,,Good,2026-03-09 14:19:55
157,HWY-391 Harry's Harbour Road,Central-Springdale,King's Point to Harry's Harbour,Bare Wet,,Good,2026-03-09 14:19:55
128,HWY-210 Burin Peninsula Highway,Eastern-Black Brook,Winterland to Red Harbour,Bare Dry,,Good,2026-03-09 14:24:12
199,HWY-220 Grand Bank to Marystown,Eastern-Black Brook,Lord's Cove to Marystown,Bare Dry,,Good,2026-03-09 14:24:12
91,HWY-1 Trans-Canada Highway,Western-Corner Brook,Corner Brook to Gallants,Bare Wet,,Good,2026-03-09 14:24:24
220,HWY-450-1 Lewin Parkway,Western-Corner Brook,Intersection Route 450 to Trans-Canada Highway,Bare Wet,,Good,2026-03-09 14:24:25
177,HWY-450 South Shore Highway,Western-Corner Brook,Lark Harbour to Corner Brook,Partly Covered Snow,,Good,2026-03-09 14:24:29
127,HWY-210 Burin Peninsula Highway,Eastern-Grand Bank,Grand Bank to Winterland,Bare Dry,,Good,2026-03-09 14:25:09
198,HWY-220 Grand Bank to Marystown,Eastern-Grand Bank,Grand Bank to Lord's Cove,Bare Dry,,Good,2026-03-09 14:25:09
74,HWY-1 Trans-Canada Highway,Avalon-Donovan's,Logy Bay Road to Paddy's Pond,Bare Wet,,Good,2026-03-09 14:25:24
99,HWY-2 Pitts Memorial/CBS Bypass,Avalon-Donovan's,New Gower Street to Trans-Canada Highway,Bare Wet,,Good,2026-03-09 14:25:24
97,HWY-3 Robert E Howlett Memorial Drive,Avalon-Donovan's,Mt. Pearl to Goulds,Bare Wet,,Good,2026-03-09 14:25:24
226,HWY-3A Team Gushue Highway,Avalon-Donovan's,Topsail Road to Outer Ring Road,Bare Wet,,Good,2026-03-09 14:25:24
201,HWY-230 Bonavista Peninsula Highway,Eastern-Amherst Cove,Catalina to Bonavista,Bare Wet,,Good,2026-03-09 14:25:35
202,HWY-235 Southern Bay to Cape Bonavista,Eastern-Amherst Cove,Open Hall to Bonavista,Bare Wet,,Good,2026-03-09 14:25:35
166,HWY-430 Northern Peninsula Highway,Western-St. Anthony,St. Anthony Airport to St. Anthony,Partly Covered Snow,Slushy Patches,Good,2026-03-09 14:26:01
209,HWY-430 Northern Peninsula Highway,Western-St. Anthony,St. Anthony to Goose Cove East,Partly Covered Snow,Slushy Patches,Good,2026-03-09 14:26:01
219,HWY-430-34 St. Anthony Bight Road,Western-St. Anthony,Great Brehat Road to St. Anthony Bight,Partly Covered Snow,Slushy Patches,Good,2026-03-09 14:26:01
